source_id,designation,ra,dec,phot_g_mean_mag,bp_rp,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,duplicated_source,astrometric_params_solved,astrometric_gof_al,astrometric_chi2_al,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_sigma5d_max,ipd_gof_harmonic_amplitude,ipd_frac_multi_peak,ipd_frac_odd_win,phot_bp_rp_excess_factor
4054591239305361024,Gaia DR3 4054591239305361024,263.34480165894604,-32.80766572709407,19.40340232849121,2.6430301666259766,0.9874001678320705,0.43853625655174255,2.2741202060955508,0.6283491253852844,-1.7865948912754872,0.39997225999832153,1.0167527198791504,0.606563150882721,0.485525518655777,13,False,31,0.3426010012626648,182.03591918945312,173,1,0.9864866733551025,0.03143896162509918,0,0,1.4950661659240723
4054593545720908928,Gaia DR3 4054593545720908928,263.4330937457457,-32.69932362407717,14.559633255004883,1.180044174194336,0.8099758275031929,0.03711146116256714,2.592529025437501,0.03625977411866188,-1.5241492825677447,0.02312985621392727,0.9438751935958862,0.0,0.0,13,False,31,-1.1733219623565674,205.468017578125,231,1,0.05243421345949173,0.07013201713562012,0,0,1.2911765575408936
4054613989750175744,Gaia DR3 4054613989750175744,263.66818751936813,-32.641344130384965,18.595335006713867,2.9198474884033203,0.8412825207922534,0.22646500170230865,2.2423818690125206,0.26167863607406616,-1.7749990733865382,0.2074725329875946,0.9254303574562073,0.14019173383712769,0.07780181616544724,15,False,95,-1.496411919593811,215.92791748046875,211,0,0.3905148506164551,0.05771762132644653,0,0,1.720694661140442
4054614127190602368,Gaia DR3 4054614127190602368,263.74829605164126,-32.687721986610626,20.181060791015625,2.677663803100586,0.7920492333861389,0.70057213306427,2.6663845381526725,0.8487980365753174,-1.5975888303639705,0.6471788883209229,1.0290250778198242,0.0,0.0,16,False,95,0.5959063768386841,213.01588439941406,195,1,1.181934118270874,0.03249315544962883,0,0,1.312156081199646
4054556123650823680,Gaia DR3 4054556123650823680,264.0352114699389,-32.802510304398304,17.48374366760254,2.5136890411376953,0.7771490476925639,0.10270138084888458,2.582534257031925,0.11806146055459976,-2.0180154697144825,0.08677910268306732,1.0075511932373047,0.17220209538936615,0.5087802410125732,17,False,31,0.19817446172237396,264.72705078125,254,2,0.17137543857097626,0.008025760762393475,0,0,1.424954891204834
4054585780404446208,Gaia DR3 4054585780404446208,263.47804805003756,-32.93030589015936,14.565832138061523,1.2945327758789062,0.8778358819794319,0.025753706693649292,2.6554921107706635,0.028262032195925713,-1.8387133719408233,0.020299894735217094,1.0457241535186768,0.0,0.0,17,False,31,1.0406527519226074,276.2221984863281,253,0,0.03971222788095474,0.01713973842561245,17,3,1.278061866760254
4054594091162135936,Gaia DR3 4054594091162135936,263.47905128554527,-32.648569446137905,16.98247718811035,2.1712646484375,0.928382004373013,0.09069789201021194,2.5063576535083647,0.11366748809814453,-1.6200992707688113,0.07385532557964325,0.9801150560379028,0.0,0.0,15,False,31,-0.397823691368103,232.7692413330078,236,0,0.17162689566612244,0.09713726490736008,0,0,1.349839687347412
4054550389875364352,Gaia DR3 4054550389875364352,264.1969886474809,-32.937561382889434,19.480031967163086,2.3267745971679688,0.7633425884286432,0.38344570994377136,2.5505257235734313,0.4160514175891876,-2.0249378039030312,0.3037970960140228,1.0201632976531982,0.5795121788978577,0.4228881597518921,14,False,95,0.43155497312545776,215.13108825683594,202,1,0.5873968005180359,0.04537445306777954,0,0,1.2963453531265259
4054569287744312192,Gaia DR3 4054569287744312192,263.96175257187167,-32.706997359813265,17.16557502746582,2.2353382110595703,0.8828314557287164,0.08069203794002533,2.463290108836581,0.09891356527805328,-1.6711343195589887,0.0727086141705513,0.9393207430839539,0.0,1.2787531467338452e-15,17,False,31,-1.332689881324768,228.52610778808594,252,4,0.14791056513786316,0.06766066700220108,0,0,1.3636910915374756
4054585471182266112,Gaia DR3 4054585471182266112,263.49929020382905,-32.969753194946286,16.165685653686523,1.446089744567871,0.938102469273373,0.0533769391477108,2.1095163825058396,0.05431476980447769,-1.6091006231980378,0.04141037538647652,0.8944240212440491,0.0,0.0,17,False,31,-2.3500866889953613,204.04898071289062,250,0,0.0756247490644455,0.02184745855629444,0,0,1.27571702003479
