4054585780404446208 263.47804805  -32.93030589   0.9214   0.0258   2.6555   0.0283  -1.8387   0.0203  14.5658  15.1112  13.8167  12.8730  12.5070  12.4660  1.0000  0.9240  1.0000  0.9240 1  0.0211  1.5495   6.6286
4054586703835624576 263.48226599  -32.89911203   0.9300   0.2209   2.4564   0.2583  -1.8338   0.1841  18.6293  19.6866  17.6229      ...      ...      ...  0.9829  0.9535  1.0000  0.9535 1  0.4807  1.5169   6.6031
4054587773284762880 263.58576022  -32.84705346   0.9283   0.0585   2.4598   0.0516  -1.9697   0.0401  15.9321  16.8360  14.9928  13.5710  12.8870  12.6520  1.0000  0.6723  0.9793  0.6584 1  0.7605  1.5228   6.6377
4054588494839284480 263.60506477  -32.80530262   0.9065   0.0208   2.7367   0.0193  -1.5953   0.0148  13.4798  13.7474  13.0491  12.5400  12.0330  12.0800  1.0000  0.8313  0.9793  0.8141 1  0.0000  1.6122   6.2148
4054589628710687232 263.57806782  -32.74894701   0.9446   0.0966   2.6874   0.1031  -1.6857   0.0762  17.1078  18.3808  15.9797  14.2080  13.4090  13.0800  1.0000  0.9805  0.9793  0.9602 1  0.7195  1.4633   6.7673
4054591239305361024 263.34480166  -32.80766573   1.0004   0.4385   2.2741   0.6283  -1.7866   0.4000  19.4034  20.8230  18.1800  15.8980  15.0720  14.4640  0.9863  0.7182  0.9793  0.7033 1  0.7637  1.2865   6.8968
4054593202123515648 263.46653824  -32.72360513   0.8959   0.0263   2.4257   0.0259  -1.8335   0.0186  13.8732  14.4205  13.1574  12.1400  11.2600  10.5610  1.0000  0.9673  0.9966  0.9639 1  0.2945  1.6580   6.4782
4054593545720908928 263.43309375  -32.69932362   0.8537   0.0371   2.5925   0.0363  -1.5241   0.0231  14.5596  15.0201  13.8401      ...      ...      ...  1.0000  0.8487  0.9793  0.8312 1  0.2458  1.8351   6.9372
4054593683159865344 263.45192006  -32.66886664   0.8080   0.2870   2.7437   0.3131  -1.8515   0.2180  18.6552  20.2418  17.4427  15.4250  14.8210  14.8290  0.9893  0.7893  0.9793  0.7729 1  0.4013  2.0056   7.2719
4054594091162135936 263.47905129  -32.64856945   0.9648   0.0907   2.5064   0.1137  -1.6201   0.0739  16.9825  18.1162  15.9449  14.2390  13.5140  13.3060  0.9995  0.9447  0.9793  0.9252 1  0.4553  1.3929   6.9995
